옵션코드,적용 카테고리,옵션 구분(그룹명),추가 선택-1,추가 선택-2,추가 선택-3,길이/규격,단가,장바구니 표시,메인 하단 표시,이미지파일명,표시 조건
O-001,"CCTV폴, 벽부형 브라켓, 스텐(서스)밴드형 브라켓, 밴드형 브라켓, 스탠드형 브라켓",카메라 형태,뷸렛카메라,,,,0,X,,IM-001,
O-002,"CCTV폴, 벽부형 브라켓, 스텐(서스)밴드형 브라켓, 밴드형 브라켓, 스탠드형 브라켓",카메라 형태,하우징카메라,,,,0,X,,IM-002,
O-003,"CCTV폴, 벽부형 브라켓, 스텐(서스)밴드형 브라켓, 밴드형 브라켓, 스탠드형 브라켓",카메라 형태,스피드돔 카메라,,,,0,X,,IM-003,
O-004,"CCTV폴, 벽부형 브라켓, 스텐(서스)밴드형 브라켓, 밴드형 브라켓, 스탠드형 브라켓",카메라 형태,없음,,,,0,X,,IM-004,
O-005,CCTV폴,카메라 부착 부품,뷸렛카메라박스(변경),,,,17000,,,,"뷸렛카메라,하우징카메라"
O-006,CCTV폴,카메라 부착 부품,뷸렛카메라박스(추가),,,,22000,,,,"뷸렛카메라,하우징카메라"
O-007,"벽부형 브라켓, 스텐(서스)밴드형 브라켓, 밴드형 브라켓, 스탠드형 브라켓, 옥상 브라켓",카메라 부착 부품,뷸렛카메라박스,,,,20000,,,,"뷸렛카메라,하우징카메라"
O-008,"CCTV폴, 벽부형 브라켓, 스텐(서스)밴드형 브라켓, 밴드형 브라켓, 스탠드형 브라켓",카메라 부착 부품,알루미늄 각도기(기본),,,,0,,,,"뷸렛카메라,하우징카메라"
O-009,CCTV폴,카메라 부착 부품,알루미늄 각도기(추가),,,,8000,,,,"뷸렛카메라,하우징카메라"
O-010,"CCTV폴, 벽부형 브라켓, 스텐(서스)밴드형 브라켓, 밴드형 브라켓, 스탠드형 브라켓",카메라 부착 부품,스텐 각도기,,,,10000,,,,"뷸렛카메라,하우징카메라"
O-011,"CCTV폴, 벽부형 브라켓, 스텐(서스)밴드형 브라켓, 밴드형 브라켓, 스탠드형 브라켓",카메라 부착 부품,번호인식 각도기,,,,25000,,,,"뷸렛카메라,하우징카메라"
O-012,"CCTV폴, 벽부형 브라켓, 스텐(서스)밴드형 브라켓, 밴드형 브라켓, 스탠드형 브라켓",카메라 부착 부품,스피드돔 브라켓 부착용 판재,,,,15000,,,,스피드돔 카메라
O-013,"CCTV폴, 벽부형 브라켓, 스텐(서스)밴드형 브라켓, 밴드형 브라켓, 스탠드형 브라켓",카메라 부착 부품,40A소켓 (회전형으로 부착시),,,,25000,,,,스피드돔 카메라
O-014,CCTV폴,제작방식,후렌지형(2단분리형),,,,,,,,CCTV폴
O-015,CCTV폴,앙카 간격,170*170(기본),,,,0,,,,CCTV폴
O-016,CCTV폴,앙카 간격,200*200,,,,20000,,,,CCTV폴
O-017,CCTV폴,앙카 간격,200*200(기본),,,,0,,,,CCTV폴
