제품코드,카테고리,제품명,직경(인치),두께(T),높이/길이(M),겉봉(상봉),속봉(하봉),가로,세로,깊이,합산 최소,합산 최대,단가,이미지파일명
M-0001,CCTV폴,,4,1.2,1,,,,,,,,135000,
M-0002,CCTV폴,,4,1.2,2,,,,,,,,155000,
M-0003,CCTV폴,,4,1.2,3,,,,,,,,165000,
M-0004,CCTV폴,,4,1.2,4,,,,,,,,190000,
M-0005,CCTV폴,,4,1.2,5,,,,,,,,225000,
M-0006,CCTV폴,CCTV폴 6M(일체형),4,1.2,6,,,,,,,,255000,
M-0006,CCTV폴,CCTV폴 6M(후렌지형),4,1.2,6,,,,,,,,345000,
M-0007,CCTV폴,,4,1.5,1,,,,,,,,145000,
M-0008,CCTV폴,,4,1.5,2,,,,,,,,165000,
M-0009,CCTV폴,,4,1.5,3,,,,,,,,180000,
M-0010,CCTV폴,,4,1.5,4,,,,,,,,210000,
M-0011,CCTV폴,,4,1.5,5,,,,,,,,245000,
M-0012,CCTV폴,CCTV폴 6M(일체형),4,1.5,6,,,,,,,,275000,
M-0012,CCTV폴,CCTV폴 6M(후렌지형),4,1.5,6,,,,,,,,365000,
M-0013,CCTV폴,,5,1.5,1,,,,,,,,175000,
M-0014,CCTV폴,,5,1.5,2,,,,,,,,195000,
M-0015,CCTV폴,,5,1.5,3,,,,,,,,230000,
M-0016,CCTV폴,,5,1.5,4,,,,,,,,265000,
M-0017,CCTV폴,,5,1.5,5,,,,,,,,315000,
M-0018,CCTV폴,CCTV폴 6M(일체형),5,1.5,6,,,,,,,,365000,
M-0018,CCTV폴,CCTV폴 6M(후렌지형),5,1.5,6,,,,,,,,465000,
M-0019,CCTV폴,,5,2,1,,,,,,,,190000,
M-0020,CCTV폴,,5,2,2,,,,,,,,210000,
M-0021,CCTV폴,,5,2,3,,,,,,,,245000,
M-0022,CCTV폴,,5,2,4,,,,,,,,280000,
M-0023,CCTV폴,,5,2,5,,,,,,,,330000,
M-0024,CCTV폴,CCTV폴 6M(일체형),5,2,6,,,,,,,,380000,
M-0024,CCTV폴,CCTV폴 6M(후렌지형),5,2,6,,,,,,,,480000,
M-0025,CCTV폴,,6,1.5,1,,,,,,,,260000,
M-0026,CCTV폴,,6,1.5,2,,,,,,,,320000,
M-0027,CCTV폴,,6,1.5,3,,,,,,,,390000,
M-0028,CCTV폴,,6,1.5,4,,,,,,,,460000,
M-0029,CCTV폴,,6,1.5,5,,,,,,,,530000,
M-0030,CCTV폴,CCTV폴 6M(일체형),6,1.5,6,,,,,,,,560000,
M-0030,CCTV폴,CCTV폴 6M(후렌지형),6,1.5,6,,,,,,,,680000,
M-0031,CCTV폴,,6,2,1,,,,,,,,270000,
M-0032,CCTV폴,,6,2,2,,,,,,,,340000,
M-0033,CCTV폴,,6,2,3,,,,,,,,400000,
M-0034,CCTV폴,,6,2,4,,,,,,,,440000,
M-0035,CCTV폴,,6,2,5,,,,,,,,540000,
M-0036,CCTV폴,CCTV폴 6M(일체형),6,2,6,,,,,,,,600000,
M-0036,CCTV폴,CCTV폴 6M(후렌지형),6,2,6,,,,,,,,720000,
M-0037,벽부형 브라켓,,,,0.3,,,,,,,,65000,
M-0038,벽부형 브라켓,,,,0.4,,,,,,,,65000,
M-0039,벽부형 브라켓,,,,0.5,,,,,,,,65000,
M-0040,벽부형 브라켓,,,,0.6,,,,,,,,75000,
M-0041,벽부형 브라켓,,,,0.7,,,,,,,,75000,
M-0042,벽부형 브라켓,,,,0.8,,,,,,,,85000,
M-0043,벽부형 브라켓,,,,0.9,,,,,,,,85000,
M-0044,벽부형 브라켓,,,,1,,,,,,,,85000,
M-0045,벽부형 브라켓,,,,1.1,,,,,,,,95000,
M-0046,벽부형 브라켓,,,,1.2,,,,,,,,95000,
M-0047,벽부형 브라켓,,,,1.3,,,,,,,,105000,
M-0048,벽부형 브라켓,,,,1.4,,,,,,,,105000,
M-0049,벽부형 브라켓,,,,1.5,,,,,,,,105000,
M-0050,벽부형 브라켓,,,,1.6,,,,,,,,115000,
M-0051,벽부형 브라켓,,,,1.7,,,,,,,,115000,
M-0052,벽부형 브라켓,,,,1.8,,,,,,,,130000,
M-0053,벽부형 브라켓,,,,1.9,,,,,,,,130000,
M-0054,벽부형 브라켓,,,,2,,,,,,,,130000,
M-0055,벽부형 브라켓,,,,2.5,,,,,,,,150000,
M-0056,벽부형 브라켓,,,,3,,,,,,,,170000,
M-0057,밴드형 브라켓,,3,,0.3,,,,,,,,85000,
M-0058,밴드형 브라켓,,3,,0.4,,,,,,,,85000,
M-0059,밴드형 브라켓,,3,,0.5,,,,,,,,85000,
M-0060,밴드형 브라켓,,3,,0.6,,,,,,,,90000,
M-0061,밴드형 브라켓,,3,,0.7,,,,,,,,90000,
